language_en,language,notes,is_extinct
Atikamekw,Nēhinawēwin,"Spoken in: Quebec, Canada",FALSE
Auslan,Sign Language,Official language in: Australia,FALSE
Avar,МагIарул МацI,"Spoken in: Azerbaijan, Georgia, Kazakhstan, Turkey, and Dagestan ( Russia)",FALSE
Avestan,𐬆𐬬𐬈𐬯𐬙𐬆𐬥,Spoken on: the eastern Iranian Plateau; Spoken on: the Eastern Iranian Plateau,FALSE
Awadhi,अवधी,Spoken in: India,FALSE
Aweer,Boni,Spoken in: Kenya,FALSE
Awijilah,"Tawjilit, طاوجيليت or ⵟⴰⵡⵊⵉⵍⵉⵜ",Spoken in: Libya,FALSE
Ayapaneco,Ayapaneco,"Spoken in: Tabasco, Mexico",FALSE
Aymara,Aymar Aru,"Spoken by: Aymara people in Bolivia, Chile, and Peru",FALSE
Äynu,ئەينۇ,"Spoken in: the Xinjiang Uyghur Autonomous Region, China",FALSE
Azerbaijani,"Azərbaycanca, آذربایجان دیلی","Official language in: Azerbaijan and Dagestan, Russia; Spoken in: Iran, Turkey and Georgia",FALSE
Azoyu Me'phaa,me̱'pha̱a̱ tsíndíí,"Spoken in: Guerrero, Mexico",FALSE
Babine,"Witsuwit’en, ᗔᙣᗔᗥᐣ",Spoken in: British Columbia in Canada,FALSE
Baga,Barka,Formerly spoken in: the Republic of Guinea,TRUE
Bai,白语,"Spoken in: the Yunnan Province, People's Republic of China",FALSE
Baki,Baki,Spoken in: Vanuatu,FALSE
Balinese,ᬩᬲᬩᬮᬶ,"Spoken in: Bali , Republic of Indonesia",FALSE
Balti,"སྦལ་ཏིའི་སྐད་, بلتی","Spoken in: Baltistan, Azad Jammu and Kashmir, Islamic Republic of Pakistan and Ladakh, Jammu and Kashmir, Republic of India",FALSE
Bambara,Bamanankan,Spoken in: the Republic of Mali,FALSE
Bantu,Narrow Bantu,Formerly spoken in: Subsaharan Africa,TRUE
Basa-Gumna,"Basa-Kaduna, Basa Kuta","Formerly spoken in: Chanchaga, Niger State, Federal Republic of Nigeria",TRUE
Basahan,Guhit,"Used in: Bicol Region, Philippines",TRUE
Bashkir,"башҡорт Теле, Başqort Tele","Official language in: the Republic of Bashkortostan, Russian Federation and the Republic of Kazakhstan",FALSE
Basque,Euskara,"Official language in: Basque Country and Navarre , Kingdom of Spain; Spoken in the French Basque Country, Atlantic Pyrenees Republic of France , but with no legal status.",FALSE
Bassa,ɓasaá,Spoken by: Liberian/Sierra Leonean Bassa People,FALSE
