language_en,language,notes,is_extinct
Uspanteco,uspantek,Spoken in: Guatemala,FALSE
Uyghur,ئۇيغۇر تىلى,Official language in: the Chinese autonomous region of Xinjiang and Recognised Minority Language of Kazakhstan,FALSE
Uzbek,"اوزبیک, Ўзбек, Oʻzbek",Official language in: the Republic of Uzbekistan,FALSE
Vaagri Booli,ஃஅக்கிபிக்கி,"Spoken in: Tamil Nadu , Andhra Pradesh , Puducherry , Karnataka, , Maharashtra , and all in India",FALSE
Vai,ꕙꔤ,Spoken in: Liberia and Sierra Leone,FALSE
Valencian,Valencià,Official language in: the Spanish autonomous community of Valencia,FALSE
Vedda,?,Spoken in: Uva Province of Sri Lanka,FALSE
Venda,Tshivenḓa,Official language in: the Republic of South Africa and the Republic of Zimbabwe,FALSE
Venetian,Vèneto,Official language in: the Italian region of Veneto,FALSE
Vietnamese,Tiếng Việt Nam,Official language in: the Socialist Republic of Vietnam; Recognised Minority Language in: the Czech Republic,FALSE
Vincentian Creole,Naygar (meaning people not Vincentian Creole),Spoken in: Saint Vincent and the Grenadines,FALSE
Vlax Romani,řomani čhib,Generally spoken in: Southeastern Europe,FALSE
Volapük,Volapük,International language invented by Johann Martin Schleyer,FALSE
Võro,Võro Kiil,Spoken in: Southern Estonia,FALSE
Votic,Vaddja,Spoken in: Ingria in Russia,FALSE
Walloon,Walon,Spoken in: the Belgian region of Wallonia,FALSE
Warlpiri,Warlpiri,Spoken in: the Australian Northern Territory,FALSE
Welsh,Cymraeg,Official language in: the British country of Wales; Recognised Minority Language in: the Argentine Republic and the United Kingdom,FALSE
West Frisian,Frysk,Official language in: the Dutch province of Friesland,FALSE
Western Itelmen,итэнмэн,Spoken in: Kamchatka Krai in Russia,FALSE
Wintu,wintʰuːh,Spoken in: California,FALSE
Wolof,Wolof,"Spoken in: the Republic of the Gambia , the Islamic Republic of Mauritania , and the Republic of Senegal",FALSE
Wu,吴方言,"Spoken in: the southern region of the Chinese province of Jiangsu, the entire province of Zhejiang, and the municipality of Shanghai",FALSE
Xaracuu,"Kanala, Xârâcùù",Spoken in: the French special collectivity of New Caledonia,FALSE
Xhosa,isiXhosa,Official language in: the Republic of South Africa and the Republic of Zimbabwe,FALSE
Xiang,湘语,Spoken in: the northern region of the Chinese province of Guangxi and the central and southwestern regions of the province of Hunan,FALSE
Xibe,ᠰᡞᠪᡝᡤᡞᠰᡠᠨ,Spoken in: the Chinese autonomous region of Xinjiang,FALSE
Xiriâna,Bahwana,Formerly spoken in: Brazil,TRUE
Xucuru,?,Formerly spoken in: Brazil,TRUE
Yakut,Саха тыла,Official language in: Yakutia or Sakha in Russia,FALSE
Yanesha',Yanešač̣,Spoken in: the Peruvian department of Pasco,FALSE
Yapese,Yapese,Spoken in: the Micronesian island of Yap,FALSE
Yiddish,ייִדיש ייִדיש‎,"Official language in: the Russian Jewish Autonomous Oblast; Recognised as a minority language in Bosnia and Herzegovina , the State of Israel , the Netherlands , the Republic of Poland , Romania , the Kingdom of Sweden , and Ukraine",FALSE
Yoruba,Èdè Yorùbá,Official language in: the Federal Republic of Nigeria,FALSE
Yuchi,Tsoyaha,Spoken in: Oklahoma,FALSE
Yue,"粵語, 粤语, 廣東話, or 广东话",Spoken in: the Chinese province of Guangdong and the autonomous region of Guangxi,FALSE
Zaghawa,Beria,Spoken in: Sudan and Chad,FALSE
Zaza,Zazaki,"Spoken in: Tunceli , Bingöl and parts of Elazığ , Erzincan and Diyarbakır",FALSE
Zulu,isiZulu,Official language in: the Republic of South Africa,FALSE
Zuni,Shiwi’ma,Spoken in: New Mexico and Arizona in the United States,FALSE
Zuojiang Zhuang,話僮,Spoken in: the Chinese autonomous region of Guangxi,FALSE
Zyphe Chin,?,Spoken in: Chin State and India,FALSE
ǂAkhoe,ǂAkhoe Haiǁom,"Spoken in: Angola , Botswana , Namibia , and South Africa",FALSE
